Player,Role,Avg_Price_Cr,Max_Price_Cr,Times_Auctioned,Total_Runs,Balls_Faced,Strike_Rate,Total_Wickets,Economy_Rate,Runs_Norm,SR_Norm,Wickets_Norm,Performance_Score_Raw,Performance_Score,Value_Flag
Asif K M,Bowler,0.4,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Atharva Taide,All-Rounder,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Avesh Khan,Bowler,5.35,10.0,2,0.0,0.0,0.0,47.0,8.23,0.0,0.0,31.333333333333332,14.1,9.4,Overpriced
Axar Rajesh Patel,All-Rounder,5.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ayush Badoni,All-Rounder,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
B. Sai Sudharsan,All-Rounder,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Baba Aparajith,All-Rounder,0.1,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Baba Indrajith,Wicket Keeper,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Baltej Dhanda,Bowler,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Bandaru Ayyappa,Bowler,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Barinder Singh Saran,Bowler,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Barinder Singh Sran,Bowler,2.27,3.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Basil Thampi,Bowler,0.7,0.95,3,0.0,0.0,0.0,22.0,9.72,0.0,0.0,14.666666666666666,6.6,4.4,Fair Price
Ben Cutting,All-Rounder,1.06,2.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ben Dunk,Wicket Keeper,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ben Dwarshuis,Bowler,1.4,1.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ben Hilfenhaus,Bowler,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ben Laughlin,Bowler,0.32,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Benjamin Stokes,All-Rounder,13.5,14.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overpriced
Benny Howell,All-Rounder,0.4,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Beuran Hendricks,Bowler,1.8,1.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Bhanuka Rajapaksa,Batsman,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Bhuvneshwar Kumar,Bowler,4.22,4.25,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
